stylecode,description,sku,mrp,size,colour,productname,model
CAMI-03-BLKM-BLU,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-BLU_S,500,S ,Black,Camisole,https://www.dropbox.com/s/rdn35kr3nmsyvj9/CAMI-03-BLKM-BLU%20COMBO.jpg?dl=0
CAMI-03-BLKM-BLU,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-BLU_M,500,M,Black,Camisole,https://www.dropbox.com/s/rdn35kr3nmsyvj9/CAMI-03-BLKM-BLU%20COMBO.jpg?dl=0
CAMI-03-BLKM-BLU,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-BLU_L,500,L,Black,Camisole,https://www.dropbox.com/s/rdn35kr3nmsyvj9/CAMI-03-BLKM-BLU%20COMBO.jpg?dl=0
CAMI-03-BLKM-BLU,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-BLU_XL,500,XL,Black,Camisole,https://www.dropbox.com/s/rdn35kr3nmsyvj9/CAMI-03-BLKM-BLU%20COMBO.jpg?dl=0
CAMI-03-BLKM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-SKY_S,500,S ,Black,Camisole,https://www.dropbox.com/s/7a66bdy7vqzra4v/CAMI-03-BLKM-SKY%20COMBO.jpg?dl=0
CAMI-03-BLKM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-SKY_M,500,M,Black,Camisole,https://www.dropbox.com/s/7a66bdy7vqzra4v/CAMI-03-BLKM-SKY%20COMBO.jpg?dl=0
CAMI-03-BLKM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-SKY_L,500,L,Black,Camisole,https://www.dropbox.com/s/7a66bdy7vqzra4v/CAMI-03-BLKM-SKY%20COMBO.jpg?dl=0
CAMI-03-BLKM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLKM-SKY_XL,500,XL,Black,Camisole,https://www.dropbox.com/s/7a66bdy7vqzra4v/CAMI-03-BLKM-SKY%20COMBO.jpg?dl=0
CAMI-03-BLU-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-GRYM_S,500,S ,Blue,Camisole,https://www.dropbox.com/s/l2f93xkcreqrdic/CAMI-03-BLU-GRYM%20COMBO.jpg?dl=0
CAMI-03-BLU-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-GRYM_M,500,M,Blue,Camisole,https://www.dropbox.com/s/l2f93xkcreqrdic/CAMI-03-BLU-GRYM%20COMBO.jpg?dl=0
CAMI-03-BLU-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-GRYM_L,500,L,Blue,Camisole,https://www.dropbox.com/s/l2f93xkcreqrdic/CAMI-03-BLU-GRYM%20COMBO.jpg?dl=0
CAMI-03-BLU-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-GRYM_XL,500,XL,Blue,Camisole,https://www.dropbox.com/s/l2f93xkcreqrdic/CAMI-03-BLU-GRYM%20COMBO.jpg?dl=0
CAMI-03-BLU-RED,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-RED_S,500,S ,Blue,Camisole,https://www.dropbox.com/s/uit5vn8w8ee8efc/CAMI-03-BLU-RED%20COMBO.jpg?dl=0
CAMI-03-BLU-RED,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-RED_M,500,M,Blue,Camisole,https://www.dropbox.com/s/uit5vn8w8ee8efc/CAMI-03-BLU-RED%20COMBO.jpg?dl=0
CAMI-03-BLU-RED,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-RED_L,500,L,Blue,Camisole,https://www.dropbox.com/s/uit5vn8w8ee8efc/CAMI-03-BLU-RED%20COMBO.jpg?dl=0
CAMI-03-BLU-RED,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-RED_XL,500,XL,Blue,Camisole,https://www.dropbox.com/s/uit5vn8w8ee8efc/CAMI-03-BLU-RED%20COMBO.jpg?dl=0
CAMI-03-BLU-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-SKY_S,500,S ,Blue,Camisole,https://www.dropbox.com/s/q50t2l6a8fbnb4v/CAMI-03-BLU-SKY%20COMBO.jpg?dl=0
CAMI-03-BLU-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-SKY_M,500,M,Blue,Camisole,https://www.dropbox.com/s/q50t2l6a8fbnb4v/CAMI-03-BLU-SKY%20COMBO.jpg?dl=0
CAMI-03-BLU-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-SKY_L,500,L,Blue,Camisole,https://www.dropbox.com/s/q50t2l6a8fbnb4v/CAMI-03-BLU-SKY%20COMBO.jpg?dl=0
CAMI-03-BLU-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-BLU-SKY_XL,500,XL,Blue,Camisole,https://www.dropbox.com/s/q50t2l6a8fbnb4v/CAMI-03-BLU-SKY%20COMBO.jpg?dl=0
CAMI-03-GRYM-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-BLKM_S,500,S ,Grey,Camisole,https://www.dropbox.com/s/4kjx9yz1g17fp2g/CAMI-03-GRYM-BLKM%20COMBO.jpg?dl=0
CAMI-03-GRYM-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-BLKM_M,500,M,Grey,Camisole,https://www.dropbox.com/s/4kjx9yz1g17fp2g/CAMI-03-GRYM-BLKM%20COMBO.jpg?dl=0
CAMI-03-GRYM-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-BLKM_L,500,L,Grey,Camisole,https://www.dropbox.com/s/4kjx9yz1g17fp2g/CAMI-03-GRYM-BLKM%20COMBO.jpg?dl=0
CAMI-03-GRYM-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-BLKM_XL,500,XL,Grey,Camisole,https://www.dropbox.com/s/4kjx9yz1g17fp2g/CAMI-03-GRYM-BLKM%20COMBO.jpg?dl=0
CAMI-03-GRYM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-SKY_S,500,S ,Grey,Camisole,https://www.dropbox.com/s/quybf4eirxoyahc/CAMI-03-GRYM-SKY%20COMBO.jpg?dl=0
CAMI-03-GRYM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-SKY_M,500,M,Grey,Camisole,https://www.dropbox.com/s/quybf4eirxoyahc/CAMI-03-GRYM-SKY%20COMBO.jpg?dl=0
CAMI-03-GRYM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-SKY_L,500,L,Grey,Camisole,https://www.dropbox.com/s/quybf4eirxoyahc/CAMI-03-GRYM-SKY%20COMBO.jpg?dl=0
CAMI-03-GRYM-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-GRYM-SKY_XL,500,XL,Grey,Camisole,https://www.dropbox.com/s/quybf4eirxoyahc/CAMI-03-GRYM-SKY%20COMBO.jpg?dl=0
CAMI-03-RED-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-BLKM_S,500,S ,Red,Camisole,https://www.dropbox.com/s/jcsrux5zlc926jq/CAMI-03-RED-BLKM%20COMBO.jpg?dl=0
CAMI-03-RED-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-BLKM_M,500,M,Red,Camisole,https://www.dropbox.com/s/jcsrux5zlc926jq/CAMI-03-RED-BLKM%20COMBO.jpg?dl=0
CAMI-03-RED-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-BLKM_L,500,L,Red,Camisole,https://www.dropbox.com/s/jcsrux5zlc926jq/CAMI-03-RED-BLKM%20COMBO.jpg?dl=0
CAMI-03-RED-BLKM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-BLKM_XL,500,XL,Red,Camisole,https://www.dropbox.com/s/jcsrux5zlc926jq/CAMI-03-RED-BLKM%20COMBO.jpg?dl=0
CAMI-03-RED-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-GRYM_S,500,S ,Red,Camisole,https://www.dropbox.com/s/ki1ulw3n6ywd7dc/CAMI-03-RED-GRYM%20COMBO.jpg?dl=0
CAMI-03-RED-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-GRYM_M,500,M,Red,Camisole,https://www.dropbox.com/s/ki1ulw3n6ywd7dc/CAMI-03-RED-GRYM%20COMBO.jpg?dl=0
CAMI-03-RED-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-GRYM_L,500,L,Red,Camisole,https://www.dropbox.com/s/ki1ulw3n6ywd7dc/CAMI-03-RED-GRYM%20COMBO.jpg?dl=0
CAMI-03-RED-GRYM,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-GRYM_XL,500,XL,Red,Camisole,https://www.dropbox.com/s/ki1ulw3n6ywd7dc/CAMI-03-RED-GRYM%20COMBO.jpg?dl=0
CAMI-03-RED-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-SKY_S,500,S ,Red,Camisole,https://www.dropbox.com/s/9pxrjwnynsb0j39/CAMI-03-RED-SKY%20COMBO.jpg?dl=0
CAMI-03-RED-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-SKY_M,500,M,Red,Camisole,https://www.dropbox.com/s/9pxrjwnynsb0j39/CAMI-03-RED-SKY%20COMBO.jpg?dl=0
CAMI-03-RED-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-SKY_L,500,L,Red,Camisole,https://www.dropbox.com/s/9pxrjwnynsb0j39/CAMI-03-RED-SKY%20COMBO.jpg?dl=0
CAMI-03-RED-SKY,Pack of 2 Adjustable Transparent Strap Cotton Camisoles,CAMI-03-RED-SKY_XL,500,XL,Pink,Camisole,https://www.dropbox.com/s/9pxrjwnynsb0j39/CAMI-03-RED-SKY%20COMBO.jpg?dl=0
CAMI-04-BPNK-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-LGRY_S,500,S ,Pink,Camisole,https://www.dropbox.com/s/0m16y5okxmndn6u/CAMI-04-BPNK-LGRY%20COMBO.jpg?dl=0
CAMI-04-BPNK-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-LGRY_M,500,M,Pink,Camisole,https://www.dropbox.com/s/0m16y5okxmndn6u/CAMI-04-BPNK-LGRY%20COMBO.jpg?dl=0
CAMI-04-BPNK-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-LGRY_L,500,L,Pink,Camisole,https://www.dropbox.com/s/0m16y5okxmndn6u/CAMI-04-BPNK-LGRY%20COMBO.jpg?dl=0
CAMI-04-BPNK-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-LGRY_XL,500,XL,Pink,Camisole,https://www.dropbox.com/s/0m16y5okxmndn6u/CAMI-04-BPNK-LGRY%20COMBO.jpg?dl=0
CAMI-04-BPNK-NBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-NBLU_S,500,S ,Pink,Camisole,https://www.dropbox.com/s/wm54yrqnq8msxvz/CAMI-04-BPNK-NBLU%20COMBO.jpg?dl=0
CAMI-04-BPNK-NBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-NBLU_M,500,M,Pink,Camisole,https://www.dropbox.com/s/wm54yrqnq8msxvz/CAMI-04-BPNK-NBLU%20COMBO.jpg?dl=0
CAMI-04-BPNK-NBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-NBLU_L,500,L,Pink,Camisole,https://www.dropbox.com/s/wm54yrqnq8msxvz/CAMI-04-BPNK-NBLU%20COMBO.jpg?dl=0
CAMI-04-BPNK-NBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-NBLU_XL,500,XL,Pink,Camisole,https://www.dropbox.com/s/wm54yrqnq8msxvz/CAMI-04-BPNK-NBLU%20COMBO.jpg?dl=0
CAMI-04-BPNK-OGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-OGRN_S,500,S ,Pink,Camisole,https://www.dropbox.com/s/nmkb73vl48is24h/CAMI-04-BPNK-OGRN%20COMBO.jpg?dl=0
CAMI-04-BPNK-OGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-OGRN_M,500,M,Pink,Camisole,https://www.dropbox.com/s/nmkb73vl48is24h/CAMI-04-BPNK-OGRN%20COMBO.jpg?dl=0
CAMI-04-BPNK-OGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-OGRN_L,500,L,Pink,Camisole,https://www.dropbox.com/s/nmkb73vl48is24h/CAMI-04-BPNK-OGRN%20COMBO.jpg?dl=0
CAMI-04-BPNK-OGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-OGRN_XL,500,XL,Pink,Camisole,https://www.dropbox.com/s/nmkb73vl48is24h/CAMI-04-BPNK-OGRN%20COMBO.jpg?dl=0
CAMI-04-BPNK-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-ORG_S,500,S ,Pink,Camisole,https://www.dropbox.com/s/sm9lei0lptbm7tk/CAMI-04-BPNK-ORG%20COMBO.jpg?dl=0
CAMI-04-BPNK-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-ORG_M,500,M,Pink,Camisole,https://www.dropbox.com/s/sm9lei0lptbm7tk/CAMI-04-BPNK-ORG%20COMBO.jpg?dl=0
CAMI-04-BPNK-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-ORG_L,500,L,Pink,Camisole,https://www.dropbox.com/s/sm9lei0lptbm7tk/CAMI-04-BPNK-ORG%20COMBO.jpg?dl=0
CAMI-04-BPNK-ORG,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-ORG_XL,500,XL,Pink,Camisole,https://www.dropbox.com/s/sm9lei0lptbm7tk/CAMI-04-BPNK-ORG%20COMBO.jpg?dl=0
CAMI-04-BPNK-PLM,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-PLM_S,500,S ,Pink,Camisole,https://www.dropbox.com/s/evakhdodlnkmcd6/CAMI-04-BPNK-PLM%20COMBO.jpg?dl=0
CAMI-04-BPNK-PLM,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-PLM_M,500,M,Pink,Camisole,https://www.dropbox.com/s/evakhdodlnkmcd6/CAMI-04-BPNK-PLM%20COMBO.jpg?dl=0
CAMI-04-BPNK-PLM,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-PLM_L,500,L,Pink,Camisole,https://www.dropbox.com/s/evakhdodlnkmcd6/CAMI-04-BPNK-PLM%20COMBO.jpg?dl=0
CAMI-04-BPNK-PLM,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-PLM_XL,500,XL,Pink,Camisole,https://www.dropbox.com/s/evakhdodlnkmcd6/CAMI-04-BPNK-PLM%20COMBO.jpg?dl=0
CAMI-04-BPNK-TGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-TGRN_S,500,S ,Pink,Camisole,https://www.dropbox.com/s/w3y7827xjn72euv/CAMI-04-BPNK-TGRN%20COMBO.jpg?dl=0
CAMI-04-BPNK-TGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-TGRN_M,500,M,Pink,Camisole,https://www.dropbox.com/s/w3y7827xjn72euv/CAMI-04-BPNK-TGRN%20COMBO.jpg?dl=0
CAMI-04-BPNK-TGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-TGRN_L,500,L,Pink,Camisole,https://www.dropbox.com/s/w3y7827xjn72euv/CAMI-04-BPNK-TGRN%20COMBO.jpg?dl=0
CAMI-04-BPNK-TGRN,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-BPNK-TGRN_XL,500,XL,Pink,Camisole,https://www.dropbox.com/s/w3y7827xjn72euv/CAMI-04-BPNK-TGRN%20COMBO.jpg?dl=0
CAMI-04-GRN-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-BPNK_S,500,S ,Green,Camisole,https://www.dropbox.com/s/3h51l25gk1qceor/CAMI-04-GRN-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRN-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-BPNK_M,500,M,Green,Camisole,https://www.dropbox.com/s/3h51l25gk1qceor/CAMI-04-GRN-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRN-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-BPNK_L,500,L,Green,Camisole,https://www.dropbox.com/s/3h51l25gk1qceor/CAMI-04-GRN-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRN-BPNK,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-BPNK_XL,500,XL,Green,Camisole,https://www.dropbox.com/s/3h51l25gk1qceor/CAMI-04-GRN-BPNK%20COMBO.jpg?dl=0
CAMI-04-GRN-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-LBLU_S,500,S ,Green,Camisole,https://www.dropbox.com/s/y2r01vyp582z92v/CAMI-04-GRN-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRN-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-LBLU_M,500,M,Green,Camisole,https://www.dropbox.com/s/y2r01vyp582z92v/CAMI-04-GRN-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRN-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-LBLU_L,500,L,Green,Camisole,https://www.dropbox.com/s/y2r01vyp582z92v/CAMI-04-GRN-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRN-LBLU,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-LBLU_XL,500,XL,Green,Camisole,https://www.dropbox.com/s/y2r01vyp582z92v/CAMI-04-GRN-LBLU%20COMBO.jpg?dl=0
CAMI-04-GRN-LGRY,Pack of 2 Adjustable Strap Cotton Camisoles,CAMI-04-GRN-LGRY_S,500,S ,Green,Camisole,https://www.dropbox.com/s/yc0fgab9zlp3y19/CAMI-04-GRN-LGRY%20COMBO.jpg?dl=0
